t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1775394182,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775394212,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775394242,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775394272,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775394302,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775394332,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775394362,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775394392,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775394422,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775394452,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775394482,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775394512,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775394542,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775394572,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775394602,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775394632,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775394662,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775394692,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775394722,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775394752,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775394782,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775394812,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775394842,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
